id_bd,titulo,autor,cover_id,url,estado
101,Pierre et Jean,Guy de Maupassant,8245172,https://covers.openlibrary.org/b/id/8245172-L.jpg,✓ OK
102,La revolucion de la inteligencia,Luis Alberto Machado,4445273,https://covers.openlibrary.org/b/id/4445273-L.jpg,✓ OK
103,El camino de la soledad,Musashi Miyamoto,,,✗ NO ENCONTRADO
104,Your brain on porn,Gary Wilson,12446752,https://covers.openlibrary.org/b/id/12446752-L.jpg,✓ OK
105,La comunicacion no verbal,Flora Davis,10463650,https://covers.openlibrary.org/b/id/10463650-L.jpg,✓ OK
106,The brain that changes itself,Norman Doidge,1333251,https://covers.openlibrary.org/b/id/1333251-L.jpg,✓ OK
107,Une bouteille dans la mer de Gaza,Valerie Zenatti,11342199,https://covers.openlibrary.org/b/id/11342199-L.jpg,✓ OK
108,Un avventura di viaggio,Marcel Brion,,,✗ NO ENCONTRADO
109,Martin Eden,Jack London,9223765,https://covers.openlibrary.org/b/id/9223765-L.jpg,✓ OK
110,La Presentacion de la persona en la vida cotidiana,Erving Goffman,8104174,https://covers.openlibrary.org/b/id/8104174-L.jpg,✓ OK
111,Invierte en ti,Natalia de Santiago,10553652,https://covers.openlibrary.org/b/id/10553652-L.jpg,✓ OK
112,La caida,Albert Camus,7263762,https://covers.openlibrary.org/b/id/7263762-L.jpg,✓ OK
113,El anticristo,Friedrich Nietzsche,12339246,https://covers.openlibrary.org/b/id/12339246-L.jpg,✓ OK
114,Dos conceptos de libertad,Isaiah Berlin,13983238,https://covers.openlibrary.org/b/id/13983238-L.jpg,✓ OK
115,El hombre mas rico de babilonia,George Clason,3356007,https://covers.openlibrary.org/b/id/3356007-L.jpg,✓ OK
116,Hable menos y actue mas,Brian Tracy,,,✗ NO ENCONTRADO
117,La economia en una leccion,Henry Hazlitt,14110889,https://covers.openlibrary.org/b/id/14110889-L.jpg,✓ OK
118,La biblia del vendedor,Alex Dey,14312163,https://covers.openlibrary.org/b/id/14312163-L.jpg,✓ OK
119,El arte de la buena vida,Willam Irvine,13661934,https://covers.openlibrary.org/b/id/13661934-L.jpg,✓ OK
120,Los 10 principios basicos del orden politico liberal,Juan Ramon Rallo,,,✗ NO ENCONTRADO
121,Los 4 acuerdos,Miguel Ruiz,,,✗ NO ENCONTRADO
122,Ten peor coche que tu vecino,Luis Pita,13803173,https://covers.openlibrary.org/b/id/13803173-L.jpg,✓ OK
123,El gen egoista,Richard Dawkins,8105040,https://covers.openlibrary.org/b/id/8105040-L.jpg,✓ OK
124,Una habitacion propia,Virginia Woolf,14052170,https://covers.openlibrary.org/b/id/14052170-L.jpg,✓ OK
125,La rebelion de las masas,Jose Ortega y Gasset,1047124,https://covers.openlibrary.org/b/id/1047124-L.jpg,✓ OK
126,Falacias de la justicia social,Thomas Sowell,,,✗ NO ENCONTRADO
127,Tratado sobre la tolerancia,Voltaire,12336633,https://covers.openlibrary.org/b/id/12336633-L.jpg,✓ OK
128,El mito de la monogamia,David Barash,,,✗ NO ENCONTRADO
129,Seis lecciones sobre el capitalismo,Ludwig Von Mises,14110303,https://covers.openlibrary.org/b/id/14110303-L.jpg,✓ OK
130,El hombre contra el estado,Herbert Spencer,14110992,https://covers.openlibrary.org/b/id/14110992-L.jpg,✓ OK
131,Walden,Henry David Thoreau,11248037,https://covers.openlibrary.org/b/id/11248037-L.jpg,✓ OK
132,Caminar,Henry David Thoreau,14191851,https://covers.openlibrary.org/b/id/14191851-L.jpg,✓ OK
133,El crepusculo de los idolos,Friedrich Nietzsche,11865361,https://covers.openlibrary.org/b/id/11865361-L.jpg,✓ OK
134,El economista callejero,Axel Kaiser,13106894,https://covers.openlibrary.org/b/id/13106894-L.jpg,✓ OK
135,Temor y temblor,Soren Kierkegaard,13215927,https://covers.openlibrary.org/b/id/13215927-L.jpg,✓ OK
136,La ciencia del sexo,Pere Stupinya,14085889,https://covers.openlibrary.org/b/id/14085889-L.jpg,✓ OK
137,Que hago con mi vida,Po Bronson,14018195,https://covers.openlibrary.org/b/id/14018195-L.jpg,✓ OK
138,Discriminacion y disparidades,Thomas Sowell,,,✗ NO ENCONTRADO
139,El sabueso de los Baskerville,Arthur Conan Doyle,14279159,https://covers.openlibrary.org/b/id/14279159-L.jpg,✓ OK
140,Angeli,Maurizio de Giovani,14561733,https://covers.openlibrary.org/b/id/14561733-L.jpg,✓ OK
141,Invierte con poco,Natalia de Santiago,12838796,https://covers.openlibrary.org/b/id/12838796-L.jpg,✓ OK
142,Sapiens de animales a dioses,Yuval Noah Harari,,,✗ NO ENCONTRADO
143,Basta ya de ser un Tipo Lindo,Robert Glover,,,✗ NO ENCONTRADO
144,La energia nuclear salvara el mundo,Alfredo Garcia,10221409,https://covers.openlibrary.org/b/id/10221409-L.jpg,✓ OK
144,El hombre del traje color castaño,Agatha Christie,,,✗ NO ENCONTRADO
